mu,VN,VCB,m112,m122,m222,lam1,lam2,lam3,lam4,lam5,yt,gp,g
264.181818181818,-539621606.306277,-546014516.908585,1873.03868800994,1035.52776188835,-60917.7222531895,0.00171875270177933,3.58038743150952,-0.0771480662834999,0.65626367022793,-0.593729149405476,1.30367346398042,0.349835251907157,0.652577209856783
264.686868686869,-539764250.842702,-546161869.111332,1872.25134926901,1035.5516445399,-60939.5018084197,0.0017414703824244,3.58255418518383,-0.0770934617277569,0.656420117401634,-0.593875822712105,1.30361200732058,0.349838876780656,0.652567126520479
265.191919191919,-539906828.883868,-546309380.347339,1871.46488102251,1035.57547509188,-60961.2565137137,0.00176415321173138,3.58471949014484,-0.0770388978931857,0.656576348144719,-0.594022294430067,1.30355069585811,0.349842494856461,0.652557062871979
265.69696969697,-540049340.935044,-546457051.447516,1870.67928038407,1035.59925375734,-60982.986456382,0.00178680131542466,3.58688335137065,-0.0769843746506929,0.656732363223395,-0.594168565270452,1.30348952897337,0.349846106160232,0.652547018835442
266.20202020202,-540191787.499395,-546604885.609539,1869.89454448228,1035.62298074807,-61004.6917232678,0.00180941481853503,3.58904577381489,-0.0769298918718022,0.656888163399705,-0.594314635940488,1.30342850605052,0.349849710717483,0.652536994335465
266.707070707071,-540334169.077984,-546752880.27456,1869.11067046055,1035.64665627459,-61026.3724007498,0.00183199384540484,3.59120676240693,-0.0768754494286499,0.657043749431554,-0.594460507143575,1.30336762647753,0.349853308553583,0.652526989297074
267.212121212121,-540476486.169781,-546901031.743249,1868.32765547706,1035.67028054616,-61048.0285747465,0.0018545385196931,3.59336632205199,-0.0768210471939815,0.657199122072737,-0.59460617957931,1.30330688964611,0.349856899693761,0.652517003645726
267.717171717172,-540618739.271665,-547049338.04014,1867.5454967046,1035.69385377081,-61069.6603307184,0.00187704896438053,3.59552445763136,-0.076766685041147,0.657354282072976,-0.594751653943513,1.30324629495173,0.3498604841631,0.652507037307305
268.222222222222,-540760928.878431,-547197797.631303,1866.7641913305,1035.71737615531,-61091.2677536725,0.00189952530177455,3.59768117400252,-0.0767123628440972,0.657509230177941,-0.594896930928261,1.30318584179354,0.349864061986544,0.652497090208115
268.727272727273,-540903055.4828,-547346409.204475,1865.98373655649,1035.74084790523,-61112.8509281645,0.00192196765351425,3.59983647599933,-0.07665808047738,0.657663967129287,-0.595042011221908,1.30312552957436,0.349867633188896,0.652487162274881
